Apr 11 15:27:23 *	mclasen gets coffee
Apr 11 16:02:03 <jody>	the margins are a tougher call
Apr 11 16:02:48 <jody>	but when you feed in 8.5x11in, displaying it as 21.59x27.94cm seems odd
Apr 11 16:03:49 <alex>	odd perhaps, but for a european its clearly easier to tell what size that would be
Apr 11 16:03:56 <jody>	For all of the lists I'd also reccomend avoiding gnomeprintui's 'dump it in a list' approach
Apr 11 16:04:16 <jody>	There was alot of complaint about long lists of printers and paper sizes
Apr 11 16:04:31 <alex>	What would you recommend then?
Apr 11 16:05:00 <jody>	Adding a MRU collection with a sub menu/dialog with the full list
Apr 11 16:05:06 <alex>	jody: get_default_user_units() in http://cvs.gnome.org/viewcvs/*checkout*/gtk%2B/gtk/gtkpagesetupunixdialog.c?rev=1.1.2.10 
Apr 11 16:06:37 <alex>	jody: I'm more worried about the API anyway
Apr 11 16:06:43 <alex>	jody: We can tweak the ui later
Apr 11 16:07:28 <jody>	alex: I thought as much which is why my goal is to actually use it.  On reading it seemed a delight after gnomeprint
Apr 11 16:07:39 <alex>	jody: cairo helps a lot
Apr 11 16:08:09 <alex>	One thing that i think might bite people is the pango-layout issue
Apr 11 16:08:31 <alex>	i.e. you can't create pangolayouts as you do normally
Apr 11 16:08:48 <alex>	because then you'll get one targeted to the screen
Apr 11 16:09:08 <alex>	gtk_print_context_create_layout (GtkPrintContext *context)
Apr 11 16:09:12 <alex>	you have to use that
Apr 11 16:09:54 <jody>	alex: that came up in gnomeprint too, I think people will expect it.
Apr 11 16:10:30 <dom>	alex: is there a way to get the pango font map for a GtkPrintContext?
Apr 11 16:10:39 <jody>	alex: although we are still fighting with what may require some pango api to help map layouts from the screen onto the printer context
Apr 11 16:10:41 <alex>	gtk_widget_create_pango_layout
Apr 11 16:11:07 <alex>	that sets the bidi direction automatically, while gtk_print_context_create_layout doesn't
Apr 11 16:11:23 <alex>	dom: gtk_print_context_get_fontmap
Apr 11 16:11:29 <dom>	alex: gorgeous
Apr 11 16:12:03 <jody>	alex: the battle to know what the screen pango context is using as a dpi is troublesome
Apr 11 16:12:12 <alex>	dom: or gtk_print_context_create_context, or gtk_print_context_create_layout for helper functions
Apr 11 16:12:28 <mclasen>	alex: do you expect the paper names to actually be translated ? 
Apr 11 16:12:48 <alex>	mclasen: I'm uncertain about that actually.
Apr 11 16:13:11 <alex>	mclasen: I think i decided that it makes sense for some paper names
Apr 11 16:13:25 <alex>	i.e. "Japanese Double Postcard"
Apr 11 16:13:38 <mclasen>	japanische Dopppelpostkarte
Apr 11 16:13:38 <alex>	But i don't think "Letter" should be translated...
Apr 11 16:13:56 <alex>	tricky
Apr 11 16:13:58 <jody>	mclasen: translating the paper size does make sense, although for persistence we need to ensure that a unique untranslated name is used
Apr 11 16:14:24 <alex>	jody: We always persist the PWG 5101.1-2002 PWG name
Apr 11 16:14:27 <jody>	alex: s/Letter/US Letter/ and it seems translatable
Apr 11 16:14:39 <jody>	alex: good, that will handle custom names nicely
Apr 11 16:14:54 *	jody is pushing MS to adopt that in place of it's massive ugly enum
Apr 11 16:15:01 <jody>	for office 12
Apr 11 16:15:06 <behdad>	ah, missed again :(
Apr 11 16:15:12 <alex>	You're in a position to push MS?
Apr 11 16:15:26 <alex>	anyway, the win32 enum is teh suck
Apr 11 16:15:37 <alex>	The enum was extended in WinXP
Apr 11 16:15:44 <alex>	how are old apps supposed to handle that?
Apr 11 16:15:47 *	jody is on the ecma tc45 (office 12 file format)
Apr 11 16:15:54 <alex>	just getting a new enum value returned??
Apr 11 16:16:04 <mclasen>	map to the closest old size ?
Apr 11 16:16:17 <alex>	mclasen: Its just a random set of enums...
Apr 11 16:16:28 <jody>	alex: the apps don't handle the enum directly, they just pass it around
Apr 11 16:16:59 <alex>	What if you want to e.g. display the size of the paper selected?
Apr 11 16:17:02 <jrb_>	behdad: http://rafb.net/paste/results/4C4XIN87.html
Apr 11 16:17:10 <jody>	alex: if they load something with a new value on an old OS without the enum I suspect it'll just fail
Apr 11 16:17:42 <behdad>	jrb_: thanks.
Apr 11 16:17:46 <alex>	I had to implement a COM object in C today
Apr 11 16:17:48 <alex>	bleaugh
Apr 11 16:17:58 <jody>	alex: they need to ask windows for the size associated with the enum.
Apr 11 16:18:02 <jody>	ick
Apr 11 16:18:09 <alex>	jody: Is there an API call for that?
Apr 11 16:18:14 <alex>	jody: i never found one
Apr 11 16:20:10 <jody>	alex: DeviceCapabilities (... DC_PAPERSIZE, res, NULL)
Apr 11 16:20:27 <jody>	there's code in libgnomeprint/libgnomeprint/modules/win32/gnome-print-win32.c
Apr 11 16:22:08 <mclasen>	alex, jody: will it be possible to write a meaningful "porting guide" for going from libgnomeprint to gtk-printing ?
Apr 11 16:22:26 <alex>	jody: Interesting...
Apr 11 16:22:31 <jody>	alex: Will it be possible to use GtkPrintSettings without calling gtk_init ?
Apr 11 16:22:39 <alex>	mclasen: I actually never used gnomeprint...
Apr 11 16:22:50 <mclasen>	alex: good point
Apr 11 16:23:14 <jody>	mclasen: it's feasible.  Most gnomeprint code was cut-n-paste
Apr 11 16:23:25 <alex>	void                    gtk_print_operation_set_show_dialog        (GtkPrintOperation  *op,
Apr 11 16:23:25 <alex>									    gboolean            show_dialog);
Apr 11 16:23:39 <alex>	That was supposed to be used for console apps
Apr 11 16:24:02 <alex>	Hopefully it'll work without gtk_init with that
Apr 11 16:24:07 <alex>	i'm not sure
Apr 11 16:24:22 <alex>	And I'm not actually sure i implemented that
Apr 11 16:24:28 <mclasen>	alex: gtk_init does things like calling setlocale(), etc
Apr 11 16:24:47 <jody>	alex: my goal is to support the creation of a GtkPrintSettings to store the settings for importers/exporters
Apr 11 16:24:57 <mclasen>	alex: so, thats probably another thing to write a little demo app for; printing from the console
Apr 11 16:25:05 <jody>	without requiring a gui
Apr 11 16:25:29 <alex>	mclasen: clearly you'd have to initialize gobject, locale etc manually
Apr 11 16:25:40 <alex>	jody: I'll look into it
Apr 11 16:25:49 <mclasen>	right, thus a demo app to figure out and demonstrate what you have to do manually...
Apr 11 16:25:58 <jody>	alex: It also wasn't clear how you'd send custom ps/pdf to a printer
Apr 11 16:26:30 <alex>	jody: The cross-platform api doesn't really support that
Apr 11 16:26:33 <jody>	mclasen: alternatively, could GtkPrintSettings live in glib ?
Apr 11 16:26:56 <alex>	jody: If you use the unix-only apis it should be possible
Apr 11 16:28:04 <jody>	alex: that would be fine, OOo is very unlikely to be using gtk on win32
Apr 11 16:28:11 <alex>	that is the plan
Apr 11 16:29:01 <mclasen>	ok, I have to pack up in a few minutes
Apr 11 16:29:18 <alex>	gboolean                 gtk_print_job_set_source_file (GtkPrintJob              *print_job,
Apr 11 16:29:18 <alex>								const char               *filename,
Apr 11 16:29:18 <alex>								GError                  **error);
Apr 11 16:29:26 <alex>	thats what you use to send a custom file
Apr 11 16:29:52 <mclasen>	so, we agreed to postpone any print branch merges until next week, and work on api docs in the meantime, right ?
Apr 11 16:30:02 <alex>	yeah
Apr 11 16:31:02 <mclasen>	before I leave, federico said that he's still stuck in bugfighting, and hasn't had a chance to look more at the async-filechooser branch
Apr 11 16:31:17 <mclasen>	and I haven't seen kris in a while, so I don't know how close to mergable that branch is...
Apr 11 16:32:09 <jody>	mclasen: http://bugzilla.gnome.org/show_bug.cgi?id=332266 ?
Apr 11 16:32:10 <ebassi>	mclasen: as soon as the async branch lands, and federico lands his changes to the filechooser, I can add recent files support too
Apr 11 16:33:33 <mclasen>	jody: do you have any answers to behdad's questions ?
Apr 11 16:33:49 <mclasen>	ebassi: have a patch ?
Apr 11 16:34:00 <mclasen>	have to go, sorry. see you next week
